snapshot;on_wind;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
6741;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6742;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6743;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6744;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6745;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6746;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6747;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6748;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6749;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6750;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6751;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6752;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6753;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6754;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6755;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6756;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6757;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6758;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6759;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6760;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6761;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6762;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6763;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6764;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6765;13.58;0.0;-0.47;12.3;7.13;-7.13;-7.13;1.28;0.0;6.67
6766;23.53;0.0;-5.7;21.31;12.36;-12.36;-12.36;2.22;0.0;6.67
6767;22.79;0.0;-5.31;20.64;11.97;-11.97;-11.97;2.15;0.0;6.67
6768;21.97;0.0;-4.88;19.9;11.54;-11.54;-11.54;2.07;0.0;6.67
6769;20.82;0.0;-4.27;18.86;10.94;-10.94;-10.94;1.96;0.0;6.67
6770;19.1;0.0;-3.37;17.3;10.04;-10.04;-10.04;1.8;0.0;6.67
6771;17.13;0.0;-2.34;15.52;9.0;-9.0;-9.0;1.61;0.0;6.67
6772;15.74;0.0;-1.6;14.26;8.27;-8.27;-8.27;1.48;0.0;6.67
6773;14.68;0.0;2.29;13.29;7.71;-7.71;-7.71;1.38;0.0;10.0
6774;14.35;0.0;2.46;13.0;7.54;-7.54;-7.54;1.35;0.0;10.0
6775;10.82;0.0;4.31;9.8;5.69;-5.69;-5.69;1.02;0.0;10.0
6776;9.67;0.0;4.92;8.76;5.08;-5.08;-5.08;0.91;0.0;10.0
6777;11.97;0.0;3.71;10.84;6.29;-6.29;-6.29;1.13;0.0;10.0
6778;13.69;0.0;2.81;12.4;7.19;-7.19;-7.19;1.29;0.0;10.0
6779;14.68;0.0;2.29;13.29;7.71;-7.71;-7.71;1.38;0.0;10.0
6780;14.43;0.0;2.42;13.07;7.58;-7.58;-7.58;1.36;0.0;10.0
6781;15.66;0.0;1.77;14.18;8.23;-8.23;-8.23;1.47;0.0;10.0
6782;17.22;0.0;0.95;15.59;9.05;-9.05;-9.05;1.62;0.0;10.0
6783;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6784;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6785;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6786;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6787;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6788;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6789;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6790;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6791;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6792;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6793;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6794;21.31;0.0;-4.53;19.3;11.2;-11.2;-11.2;2.01;0.0;6.67
6795;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6796;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6797;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6798;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6799;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6800;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6801;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6802;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6803;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6804;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6805;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6806;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6807;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6808;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6809;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6810;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6811;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6812;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6813;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6814;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
