;on_wind;pv;PEM input;battery_storage;Compressor;hydrogen_storage;Curtailment
1822;14.81;-0.0;-13.42;0.0;-1.4;-1.12;-0.0
1823;15.12;-0.0;-13.69;0.0;-1.42;-1.28;-0.0
1824;17.23;-0.0;-15.61;0.0;-1.62;-2.39;-0.0
1825;16.58;-0.0;-15.02;0.0;-1.56;-2.05;-0.0
1826;15.85;-0.0;-14.36;0.0;-1.49;-1.66;-0.0
1827;15.94;-0.0;-14.44;0.0;-1.5;-1.71;-0.0
1828;14.51;-0.0;-13.14;0.0;-1.37;-0.96;-0.0
1829;13.56;-0.0;-12.28;0.0;-1.28;2.87;-0.0
1830;10.54;2.8;-12.08;0.0;-1.26;2.99;-0.0
1831;7.51;8.34;-14.36;0.0;-1.49;1.67;-0.0
1832;7.26;12.82;-18.18;0.0;-1.89;-0.55;-0.0
1833;7.91;16.96;-22.53;0.0;-2.34;-3.07;-0.6
1834;0.97;23.91;-22.53;0.0;-2.34;-3.07;-8.01
1835;-0.0;29.45;-22.53;-4.58;-2.34;-3.07;-7.73
1836;-0.0;28.66;-22.53;-3.78;-2.34;-3.07;-5.96
1837;2.6;22.28;-22.53;0.0;-2.34;-3.07;-1.81
1838;3.46;13.33;-15.2;0.0;-1.58;1.18;-0.0
1839;2.5;5.64;-7.38;0.0;-0.77;5.72;-0.0
1840;2.12;1.26;-5.01;2.15;-0.52;7.09;-0.0
1841;2.68;-0.0;-5.01;2.85;-0.52;7.09;-0.0
1842;4.1;-0.0;-5.01;1.42;-0.52;7.09;-0.0
1843;-0.0;-0.0;0.0;0.0;0.0;6.67;-6.09
1844;-0.0;-0.0;0.0;0.0;0.0;6.67;-7.86
1845;-0.0;-0.0;0.0;0.0;0.0;6.67;-8.85
1846;-0.0;-0.0;0.0;0.0;0.0;6.67;-9.59
1847;-0.0;-0.0;0.0;0.0;0.0;6.67;-10.19
1848;10.75;-0.0;-9.74;0.0;-1.01;1.02;-0.0
1849;11.45;-0.0;-10.37;0.0;-1.08;0.65;-0.0
1850;11.53;-0.0;-10.45;0.0;-1.09;0.61;-0.0
1851;11.19;-0.0;-10.13;0.0;-1.05;0.79;-0.0
1852;11.19;-0.0;-10.13;0.0;-1.05;0.79;-0.0
1853;10.54;-0.0;-9.55;0.0;-0.99;4.46;-0.0
1854;8.9;0.56;-8.57;0.0;-0.89;5.03;-0.0
1855;6.09;4.01;-9.15;0.0;-0.95;4.69;-0.0
1856;5.14;11.0;-14.62;0.0;-1.52;1.52;-0.0
1857;6.09;15.66;-19.7;0.0;-2.05;-1.43;-0.0
1858;7.08;17.38;-22.16;0.0;-2.3;-2.85;-0.0
1859;5.77;19.11;-22.53;0.0;-2.34;-3.07;-2.05
1860;7.73;17.15;-22.53;0.0;-2.34;-3.07;-0.01
1861;6.74;12.21;-17.16;0.0;-1.78;0.04;-0.0
1862;5.31;7.69;-11.78;0.0;-1.22;3.17;-0.0
1863;4.53;3.45;-7.23;0.0;-0.75;5.8;-0.0
1864;5.1;1.07;-5.59;0.0;-0.58;6.76;-0.0
1865;5.96;-0.0;-5.4;0.0;-0.56;6.87;-0.0
1866;6.39;-0.0;-5.79;0.0;-0.6;6.64;-0.0
1867;6.0;-0.0;-5.44;0.0;-0.57;3.51;-0.0
1868;5.1;-0.0;-5.01;0.43;-0.52;3.76;-0.0
1869;5.14;-0.0;-5.01;0.39;-0.52;3.76;-0.0
1870;6.65;-0.0;-6.02;0.0;-0.63;3.17;-0.0
1871;8.42;-0.0;-7.63;0.0;-0.79;2.24;-0.0
1872;9.5;-0.0;-8.61;0.0;-0.89;1.67;-0.0
1873;8.77;-0.0;-7.94;0.0;-0.83;2.06;-0.0
1874;7.95;-0.0;-7.2;0.0;-0.75;2.49;-0.0
1875;7.6;-0.0;-6.89;0.0;-0.72;2.67;-0.0
1876;6.87;-0.0;-6.22;0.0;-0.65;3.06;-0.0
1877;7.08;-0.0;-6.42;0.0;-0.67;6.28;-0.0
1878;7.73;0.65;-7.59;0.0;-0.79;5.59;-0.0
1879;7.82;2.19;-9.06;0.0;-0.94;4.74;-0.0
1880;10.58;4.71;-13.85;0.0;-1.44;1.97;-0.0
1881;15.42;9.46;-22.53;0.0;-2.34;-3.07;-1.64
1882;10.57;14.31;-22.53;0.0;-2.34;-3.07;-7.14
1883;10.75;14.12;-22.53;0.0;-2.34;-3.07;-6.05
1884;13.64;11.23;-22.53;0.0;-2.34;-3.07;-3.55
1885;12.43;12.44;-22.53;0.0;-2.34;-3.07;-5.79
1886;15.88;8.99;-22.53;0.0;-2.34;-3.07;-2.47
1887;16.8;4.15;-18.97;0.0;-1.97;-1.01;-0.0
1888;14.17;1.07;-13.8;0.0;-1.44;1.99;-0.0
1889;11.83;-0.0;-10.72;0.0;-1.11;3.78;-0.0
1890;10.62;-0.0;-9.62;0.0;-1.0;4.42;-0.0
1891;12.27;-0.0;-11.11;0.0;-1.16;0.22;-0.0
1892;13.39;-0.0;-12.13;0.0;-1.26;-0.37;-0.0
1893;13.17;-0.0;-11.93;0.0;-1.24;-0.25;-0.0
1894;12.96;-0.0;-11.74;0.0;-1.22;-0.14;-0.0
1895;11.01;-0.0;-9.98;0.0;-1.04;0.88;-0.0
1896;10.41;-0.0;-9.43;0.0;-0.98;1.2;-0.0
1897;10.06;-0.0;-9.12;0.0;-0.95;1.38;-0.0
1898;9.8;-0.0;-8.88;0.0;-0.92;1.52;-0.0
