;on_wind;pv;battery storage;hydrogen_storage;Curtailment
575;0.0;0.0;16.39;175.39;0.0
576;0.0;0.0;16.47;175.39;0.0
577;0.0;0.0;16.35;175.39;0.0
578;0.0;0.0;16.04;175.39;0.0
579;0.0;0.0;15.91;175.39;0.0
580;0.0;0.0;15.96;175.39;0.0
581;0.0;0.0;16.13;172.05;0.0
582;0.0;0.0;16.69;172.05;0.0
583;0.0;0.0;18.18;172.05;0.0
584;0.0;0.0;22.09;172.05;0.0
585;0.0;0.0;26.41;172.05;0.0
586;0.0;0.0;19.93;177.15;0.0
587;0.0;0.0;29.1;172.05;0.0
588;0.0;0.0;19.93;176.41;0.0
589;0.0;0.0;19.93;174.76;0.0
590;0.0;0.0;21.14;172.05;0.0
591;0.0;0.0;17.61;172.05;0.0
592;0.0;0.0;18.2;172.05;0.0
593;0.0;0.0;18.68;172.05;0.0
594;0.0;0.0;18.29;172.05;0.0
595;0.0;0.0;17.77;175.39;0.0
596;0.0;0.0;17.55;175.39;0.0
597;0.0;0.0;17.47;175.39;0.0
598;0.0;0.0;17.81;175.39;0.0
599;0.0;0.0;18.03;175.39;0.0
600;0.0;0.0;17.43;175.39;0.0
601;0.0;0.0;16.69;175.39;0.0
602;0.0;0.0;16.22;175.39;0.0
603;0.0;0.0;16.3;175.39;0.0
604;0.0;0.0;16.6;175.39;0.0
605;0.0;0.0;16.86;172.05;0.0
606;0.0;0.0;16.95;172.05;0.0
607;0.0;0.0;17.0;172.05;0.0
608;0.0;0.0;17.93;172.05;0.0
609;0.0;0.0;19.08;172.05;0.0
610;0.0;0.0;19.93;172.29;0.0
611;0.0;0.0;20.23;172.05;0.0
612;0.0;0.0;19.93;172.17;0.0
613;0.0;0.0;19.7;172.05;0.0
614;0.0;0.0;19.12;172.05;0.0
615;0.0;0.0;19.58;172.05;0.0
616;0.0;0.0;19.93;172.69;0.0
617;0.0;0.0;19.93;173.44;0.0
618;0.0;0.0;19.93;173.39;0.0
619;0.0;0.0;19.93;176.45;0.0
620;0.0;0.0;19.93;176.48;0.0
621;0.0;0.0;19.93;176.77;0.0
622;0.0;0.0;19.93;177.11;0.0
623;0.0;0.0;19.93;177.16;0.0
624;0.0;0.0;19.93;177.09;0.0
625;0.0;0.0;19.93;177.88;0.0
626;0.0;0.0;19.93;179.06;0.0
627;0.0;0.0;20.89;179.15;0.0
